Anguidae,Animalia,Chordata,Reptilia,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Xenosauridae,Animalia,Chordata,Reptilia,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Carolinidae,Animalia,Chordata,Reptilia,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,
Dorsetisauridae,Animalia,Chordata,Reptilia,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,
Necrosauridae,Animalia,Chordata,Reptilia,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,L1,,,,,,
Helodermatidae,Animalia,Chordata,Reptilia,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Varanidae,Animalia,Chordata,Reptilia,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?F,F2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aigialosauridae,Animalia,Chordata,Reptilia,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?F,F2,1,1,1,1,1,1,L1,,,,,,,,,,,,,,,,,,
Dolichosauridae,Animalia,Chordata,Reptilia,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,
Mosasauridae,Animalia,Chordata,Reptilia,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,L1,,,,,,,,,,,,,,
Paravaranidae,Animalia,Chordata,Reptilia,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,
Bainguidae,Animalia,Chordata,Reptilia,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?F,?L,,,,,,,,,,,,,,,
? Typhlopidae,Animalia,Chordata,Reptilia,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1
Lapparantophiidae,Animalia,Chordata,Reptilia,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?F,FL,,,,,,,,,,,,,,,,,,,
Simoliophiidae,Animalia,Chordata,Reptilia,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,
